time_from_present_myr,ra_deg,dec_deg,distance_kpc,galactocentric_radius_kpc,pm_ra_cosdec_masyr,pm_dec_masyr,radial_velocity_kms
-217.1764288279278,276.11401190893116,-27.55931042830682,7.250999748267079,1.4496642684095893,4.220482360441312,-3.539405640881286,53.73385429488836
-216.88465709062905,276.75127994594493,-27.321591202113563,7.278141229421902,1.5012232412540032,3.959309217926306,-3.5016892917520503,56.792084611306414
-216.59288535333042,277.35868906048546,-27.08235519754787,7.3066731549494,1.552993055625775,3.7020653353238226,-3.4722273204455605,59.310388472496605
-216.30111361603167,277.9369352316383,-26.84241759635074,7.336429997036121,1.6047322260893353,3.4501482859629333,-3.4500020695176774,61.3494783711796
-216.00934187873304,278.4868351155257,-26.602481956964194,7.367260460626368,1.6562438907340036,3.2045155104012104,-3.4340594314569244,62.96390857017163
-215.7175701414343,279.00927348984743,-26.363168994168948,7.399030107205081,1.707365466106321,2.9657513511788545,-3.4235381443907267,64.20179892905504
-215.42579840413555,279.5051726701927,-26.125013517306808,7.43161757040819,1.757964028502723,2.7341792696291805,-3.417668268844059,65.10541888053682
-215.13402666683692,279.97545960177104,-25.888473252962314,7.464914626977374,1.8079296997117114,2.5099094187566333,-3.4157796562389597,65.71132613412028
-214.84225492953829,280.4210680951935,-25.653941617677685,7.498821818776519,1.8571741102072605,2.292929538165689,-3.417277570613407,66.05157486793902
-214.55048319223943,280.84291279266085,-25.421755391009352,7.5332493330679275,1.905624626182299,2.083128817485059,-3.421650696920506,66.15419206961847
-214.2587114549408,281.24188952330877,-25.192202195981512,7.568116043013651,1.9532223543677738,1.8803234745837167,-3.4284594087643985,66.0436410572819
-213.96693971764205,281.61886775085316,-24.965518343876074,7.6033473987260045,1.999920109780237,1.6842898590496178,-3.4373191909671403,65.74160068289771
-213.67516798034342,281.97467684266115,-24.741908179661927,7.638875547010515,2.045678511482208,1.4947731322347302,-3.447909182946514,65.2668560360598
-213.38339624304467,282.3101238551674,-24.521540502436352,7.67463817723957,2.090467007344646,1.3115089948097187,-3.459949686985601,64.6364410896327
-213.09162450574593,282.625972773525,-24.304554515183707,7.710577886886478,2.1342602388394516,1.1342232676763886,-3.473204309679111,63.865344302313524
-212.7998527684473,282.92295330152746,-24.091067417635767,7.746642426712254,2.177037722150008,0.9626392693850301,-3.487471001354217,62.96696889432121
-212.50808103114855,283.201775150987,-23.881169882629774,7.782782722160351,2.218785033646928,0.796490217425271,-3.5025765305220893,61.953343779287565
-212.2163092938498,283.4631005983647,-23.674935827894572,7.818954119355203,2.259489435426886,0.6355101867290863,-3.5183738808753287,60.835356266387954
-211.92453755655117,283.70756674423603,-23.47242372870296,7.855115056685289,2.2991418118905464,0.47944436669063895,-3.5347382563131156,59.62286369194073
-211.63276581925254,283.93577387838496,-23.27367362243931,7.891227154178501,2.337734978896711,0.32804393070409826,-3.5515630012365507,58.32469836515331
-211.34099408195368,284.14829745839535,-23.078716334648046,7.927254874556122,2.375264141100071,0.18107282596680963,-3.568756440057315,56.94894857976984
-211.04922234465505,284.34568286526013,-22.887571016297898,7.963165724435818,2.4117260648961594,0.03830254968642969,-3.586241745851298,55.502985361245095
-210.75745060735642,284.5284484319224,-22.70024984093298,7.998928386611701,2.4471186925570683,-0.10048304356095857,-3.6039539334785005,53.993486418751466
-210.46567887005767,284.6970806598531,-22.516753171335026,8.034515310532287,2.4814407864584265,-0.23549451478384467,-3.6218385759511302,52.42671190783486
-210.17390713275893,284.8520519946985,-22.33707838223185,8.069899538854266,2.514692946803236,-0.3669268063877351,-3.639849181853489,50.808170933773724
-209.8821353954603,284.99380581512094,-22.161210632656044,8.10505630331827,2.546876319116201,-0.49497080410401045,-3.657946736785623,49.14311692269611
-209.59036365816155,285.122765555052,-21.989135339513137,8.139963470755319,2.5779928239043524,-0.6198057904016249,-3.6760983360833213,47.43636004134601
-209.29859192086292,285.2393297135352,-21.820833148571314,8.174599299885877,2.608044360345717,-0.7416034969199065,-3.694279138765503,45.692281852946564
-209.00682018356417,285.3438767613271,-21.65627564377167,8.208944270582816,2.637033769525998,-0.8605292585989862,-3.7124654881083488,43.914884699501705
-208.71504844626543,285.4367705564519,-21.495439651795657,8.242980129330544,2.664964285112153,-0.9767374749408761,-3.730641459185119,42.10788381986294
-208.4232767089668,285.5183455017367,-21.338293290657415,8.276689681829273,2.691838505685062,-1.090379662697113,-3.7487940446702086,40.274769178527414
-208.13150497166805,285.5889370659041,-21.18480663252003,8.310056721595847,2.717661128054011,-1.2015945848073255,-3.7669139985426985,38.41876694343596
-207.8397332343693,285.64883071532057,-21.03494259058386,8.343066959045146,2.742433716950571,-1.3105235044580608,-3.7849924555400003,36.54275718409468
-207.54796149707067,285.69833942076104,-20.888665500472086,8.37570628716501,2.7661626709127756,-1.41729017865892,-3.803026276113885,34.64957838534185
-207.25618975977204,285.73773284205737,-20.74594026670229,8.40796190636515,2.7888512075894325,-1.5220202960365155,-3.821013555669319,32.74170985072031
-206.96441802247318,285.76727365272615,-20.60672877633656,8.439822215541746,2.810503742743024,-1.6248323680007528,-3.8389531263893653,30.821562426875108
-206.67264628517455,285.7872092232766,-20.47099549317312,8.471275394199287,2.8311240822686004,-1.7258388972066825,-3.8568474377452793,28.891254303481674
-206.38087454787592,285.79777554562565,-20.33870159463807,8.502311435358791,2.8507167682843457,-1.8251477960016749,-3.8746992443362784,26.952885797397617
-206.08910281057717,285.79919564976325,-20.20980921491479,8.532920714492496,2.8692861603736373,-1.9228623152577304,-3.8925126584727643,25.00836294674766
